# TDK MnZn Ferrite PC200 Impedance Data
# Source: TDK Corporation datasheet "Mn-Zn Ferrite Material characteristics" (May 2022)
# Document: ferrite_mn-zn_material_characteristics_en.pdf
# REAL MANUFACTURER DATA - Converted from complex permeability
#
# Conversion parameters:
#   Toroidal core: OD=31mm, ID=19mm, TH=8mm
#   Number of turns: N=10
#   Air-core inductance: L0=76.800 nH
#
# Z = j*omega*L0*(mu' - j*mu") = omega*L0*mu" + j*omega*L0*mu'
#
# frequency_Hz: Frequency in Hz
# Z_real_Ohm: Real part of impedance (resistance from magnetic losses)
# Z_imag_Ohm: Imaginary part of impedance (reactance from inductance)
# Z_mag_Ohm: Magnitude of impedance
# Z_phase_deg: Phase angle in degrees
#
frequency_Hz,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
10000,0.014476458947741768,3.860389052731138,3.86041619599624,89.78514183396982
20000,0.05790583579096707,7.720778105462276,7.720995249292951,89.57028971059897
50000,0.3619114736935442,19.060670947859993,19.064106506662856,88.91223615961592
100000,1.6889202105698728,37.638793264128594,37.67666665003001,87.43075897985182
200000,7.720778105462276,73.34739200189162,73.75262929572709,83.99099404250548
300000,18.8193966320643,105.67815031851491,107.34077111860893,79.90249561592472
500000,55.493092633010114,159.24104842515945,168.63331472019345,70.78732818281436
700000,111.4687338976116,195.91474442610524,225.40600196153315,60.36161631184866
1000000,202.67042526838475,221.97237053204046,300.5778344423976,47.60256220249981
2000000,434.29376843225305,241.27431579569614,496.814223590437,29.054604099077146
3000000,579.0583579096707,231.6233431638683,623.6649380584508,21.80140948635181
5000000,723.8229473870884,193.01945263655693,749.1169256265993,14.931417178137554
7000000,743.1248926507442,168.89202105698732,762.0755348742629,12.804266065286752
10000000,723.8229473870884,144.7645894774177,738.1574666226015,11.309932474020215
