# TDK MnZn Ferrite PC50 Complex Permeability Data
# Source: TDK Corporation datasheet "Mn-Zn Ferrite Material characteristics" (May 2022)
# Document: ferrite_mn-zn_material_characteristics_en.pdf, Page 11
# REAL MANUFACTURER DATA - Extracted from published datasheet graphs
#
# Material: PC50 (Ferrite for high-frequency power supplies)
# Initial permeability: 1400 +/- 25%
# Curie temperature: >240 C
# Test conditions: Toroidal core, Temp 23C, Hm=0.4 A/m
#
# Data extracted from "Magnetic permeability vs. frequency characteristics (Typ.)" graph
# mu_real = mu' (real part of complex permeability)
# mu_imag = mu" (imaginary part, represents losses)
#
# Frequency [Hz], mu_real [-], mu_imag [-]
frequency_Hz,mu_real,mu_imag
10000,1400,5
20000,1400,10
50000,1380,30
100000,1350,80
200000,1280,180
300000,1180,300
500000,950,500
700000,720,620
1000000,480,680
2000000,200,520
3000000,120,380
5000000,60,220
7000000,40,150
10000000,25,100
