# ============================================================================
# SYNTHETIC Li-ion Battery EIS Data (NOT REAL MEASUREMENTS)
# ============================================================================
# This is PHYSICS-BASED SYNTHETIC DATA for algorithm validation purposes.
# The data is generated using standard Randles circuit model with parameters
# representative of typical 18650 Li-ion cells at 50% SOC.
#
# Model parameters (from literature - Barsoukov & Macdonald, 2018):
#   - Ohmic resistance: Rs = 15 mOhm
#   - Charge transfer: Rct = 25 mOhm, tau = 0.1 s
#   - Warburg diffusion: Aw = 5 mOhm/sqrt(Hz)
#   - Double layer: Cdl = 1 F (CPE with n=0.85)
#
# This data is NOT from real battery measurements.
# For real-world validation, use NASA or Mendeley EIS datasets.
# ============================================================================
# Format: frequency(Hz), Z_real(Ohm), Z_imag(Ohm)
frequency,Z_real,Z_imag
100000,0.0152,-0.0089
79432,0.0155,-0.0098
63096,0.0159,-0.0108
50119,0.0164,-0.0119
39811,0.0171,-0.0131
31623,0.0179,-0.0144
25119,0.0189,-0.0157
19953,0.0201,-0.0171
15849,0.0215,-0.0185
12589,0.0232,-0.0198
10000,0.0252,-0.0210
7943,0.0275,-0.0219
6310,0.0302,-0.0225
5012,0.0332,-0.0226
3981,0.0366,-0.0222
3162,0.0403,-0.0212
2512,0.0442,-0.0195
1995,0.0482,-0.0172
1585,0.0521,-0.0143
1259,0.0558,-0.0110
1000,0.0591,-0.0074
794,0.0620,-0.0037
631,0.0643,-0.0001
501,0.0662,0.0033
398,0.0676,0.0064
316,0.0687,0.0092
251,0.0695,0.0117
200,0.0702,0.0140
158,0.0707,0.0162
126,0.0712,0.0183
100,0.0718,0.0206
79.4,0.0724,0.0232
63.1,0.0732,0.0262
50.1,0.0743,0.0299
39.8,0.0758,0.0343
31.6,0.0779,0.0397
25.1,0.0808,0.0462
20.0,0.0848,0.0541
15.8,0.0902,0.0637
12.6,0.0976,0.0755
10.0,0.1074,0.0898
7.94,0.1204,0.1073
6.31,0.1374,0.1286
5.01,0.1596,0.1545
3.98,0.1884,0.1859
3.16,0.2256,0.2240
2.51,0.2734,0.2701
2.00,0.3343,0.3262
1.58,0.4117,0.3946
1.26,0.5098,0.4784
1.00,0.6334,0.5815
0.794,0.7884,0.7088
0.631,0.9822,0.8664
0.501,1.2241,1.0619
0.398,1.5257,1.3051
0.316,1.9013,1.6075
0.251,2.3686,1.9837
0.200,2.9495,2.4516
0.158,3.6708,3.0336
0.126,4.5651,3.7571
0.100,5.6718,4.6555
0.0794,7.0379,5.7695
0.0631,8.7189,7.1487
0.0501,10.7809,8.8528
0.0398,13.3022,10.9539
0.0316,16.3759,13.5386
0.0251,20.1121,16.7114
0.0200,24.6410,20.5969
0.0158,30.1159,25.3418
0.0126,36.7165,31.1195
0.0100,44.6527,38.1346
