# ============================================================================
# SYNTHETIC MnZn Ferrite Complex Permeability Data (NOT REAL MEASUREMENTS)
# ============================================================================
# This is PHYSICS-BASED SYNTHETIC DATA for algorithm validation purposes.
# The data is generated using Cole-Cole relaxation model with parameters
# representative of typical MnZn power ferrite materials.
#
# Model parameters (from literature - Snelling, "Soft Ferrites", 1988):
#   - Initial permeability: mu_s = 2300
#   - Relaxation frequency: fr = 2 MHz
#   - Cole-Cole exponent: alpha = 0.9
#   - High-frequency permeability: mu_inf = 1
#
# This data is NOT from real ferrite measurements.
# For real-world validation, measure actual ferrite samples.
# ============================================================================
# Geometry for Z calculation: toroid with Ae=31mm^2, le=24mm, N=10 turns
# Format: frequency(Hz), mu_real, mu_imag, Z_real(Ohm), Z_imag(Ohm)
frequency,mu_real,mu_imag,Z_real,Z_imag
1000,2300,5,0.0041,1.8807
1585,2298,8,0.0103,2.9810
2512,2294,13,0.0267,4.7162
3981,2286,21,0.0682,7.4430
6310,2272,35,0.1803,11.7233
10000,2248,58,0.4739,18.3811
15849,2205,97,1.2567,28.5689
25119,2127,163,3.3460,43.6907
39811,1991,274,8.9123,64.8147
63096,1763,461,23.7692,90.9222
100000,1408,774,63.2534,115.0859
158489,973,1084,140.4200,126.0963
251189,549,1214,249.1628,112.7693
398107,270,1092,355.1810,87.8403
630957,121,814,419.9032,62.3842
1000000,54,541,442.2057,44.1396
1584893,25,339,438.9881,32.3730
2511886,12,207,425.0802,24.6583
3981072,6,126,408.6929,19.3880
6309573,3,77,393.0421,15.7149
10000000,2,47,379.6109,13.0698
15848932,1,29,368.8645,11.0844
25118864,1,18,360.7619,9.5814
39810717,0,11,354.7556,8.4248
