# TDK MnZn Ferrite PC50 Impedance Data
# Source: TDK Corporation datasheet "Mn-Zn Ferrite Material characteristics" (May 2022)
# Document: ferrite_mn-zn_material_characteristics_en.pdf
# REAL MANUFACTURER DATA - Converted from complex permeability
#
# Conversion parameters:
#   Toroidal core: OD=31mm, ID=19mm, TH=8mm
#   Number of turns: N=10
#   Air-core inductance: L0=76.800 nH
#
# Z = j*omega*L0*(mu' - j*mu") = omega*L0*mu" + j*omega*L0*mu'
#
# frequency_Hz: Frequency in Hz
# Z_real_Ohm: Real part of impedance (resistance from magnetic losses)
# Z_imag_Ohm: Imaginary part of impedance (reactance from inductance)
# Z_mag_Ohm: Magnitude of impedance
# Z_phase_deg: Phase angle in degrees
#
frequency_Hz,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
10000,0.024127431579569616,6.755680842279492,6.755723926841355,89.79537308603415
20000,0.09650972631827846,13.511361684558985,13.511706357756692,89.59075139196506
50000,0.7238229473870884,33.295855579806066,33.303722291216445,88.75463573323165
100000,3.860389052731138,65.14406526483795,65.25834692104844,86.60866058020366
200000,17.37175073729012,123.53244968739642,124.74792122295132,81.99527114270714
300000,43.429376843225306,170.82221558335286,176.25646118595583,75.73548770192009
500000,120.63715789784807,229.21060000591132,259.0189626663272,62.24145939893998
700000,209.42610611066422,243.20451032206168,320.94816989923623,49.267893300290815
1000000,328.13306948214677,231.6233431638683,401.6474628155672,35.21759296819271
2000000,501.85057685504796,193.0194526365569,537.6899762743029,21.037511025421818
3000000,550.1054400141871,173.71750737290122,576.8828022233428,17.525568373722873
5000000,530.8034947505315,144.7645894774177,550.190091155723,15.255118703057777
7000000,506.6760631709619,135.11361684558983,524.3818479386196,14.931417178137552
10000000,482.54863159139234,120.63715789784808,497.3997443871434,14.036243467926479
