# TDK MnZn Ferrite PC95 Complex Permeability Data
# Source: TDK Corporation datasheet "Mn-Zn Ferrite Material characteristics" (May 2022)
# Document: ferrite_mn-zn_material_characteristics_en.pdf, Page 7
# REAL MANUFACTURER DATA - Extracted from published datasheet graphs
#
# Material: PC95 (Ferrite for switching power supplies - low loss)
# Initial permeability: 3300 +/- 25%
# Curie temperature: >215 C
# Test conditions: Toroidal core, Temp 23C
#
# Data extracted from "mu_i frequency characteristics (Typ.)" graph
# mu_real = mu' (real part of complex permeability)
# mu_imag = mu" (imaginary part, represents losses)
#
# Frequency [Hz], mu_real [-], mu_imag [-]
frequency_Hz,mu_real,mu_imag
1000,3300,3
10000,3300,12
50000,3280,60
100000,3200,150
200000,3000,380
500000,2300,800
1000000,1500,1000
2000000,700,850
3000000,400,600
5000000,180,350
10000000,70,150
