# LTspice Transient Simulation Results
# Generated by run_ltspice_verification.py
# Simulator: LTspice (actual execution via PyLTSpice)
# This is REAL simulator output, NOT analytical approximation
time_ms,V_in,V_out,I_in_mA
0.000000,0.000000,0.000000,0.000000
0.000000,0.116801,0.000000,-38.500481
0.000000,0.404815,0.000000,-133.427338
0.000002,1.000000,0.000000,-329.355377
0.000012,1.000000,0.000000,-327.226959
0.000171,1.000000,0.000000,-295.223724
0.001514,1.000000,0.000000,-133.931854
0.005517,1.000000,0.000000,-44.582413
0.020937,1.000000,0.000000,-40.708813
0.059108,1.000000,0.000000,-40.706715
0.099108,1.000000,0.000000,-40.706360
0.139108,1.000000,0.000000,-40.706169
0.179108,1.000000,0.000000,-40.705994
0.219108,1.000000,0.000000,-40.705822
0.259108,1.000000,0.000000,-40.705647
0.299108,1.000000,0.000000,-40.705475
0.339108,1.000000,0.000000,-40.705303
0.379108,1.000000,0.000000,-40.705132
0.419108,1.000000,0.000000,-40.704964
0.459108,1.000000,0.000000,-40.704792
0.499108,1.000000,0.000000,-40.704620
0.539108,1.000000,0.000000,-40.704449
0.579108,1.000000,0.000000,-40.704273
0.619108,1.000000,0.000000,-40.704102
0.659108,1.000000,0.000000,-40.703930
0.699108,1.000000,0.000000,-40.703758
0.739108,1.000000,0.000000,-40.703587
0.779108,1.000000,0.000000,-40.703415
0.819108,1.000000,0.000000,-40.703243
0.859108,1.000000,0.000000,-40.703072
0.899108,1.000000,0.000000,-40.702900
0.939108,1.000000,0.000000,-40.702728
0.979108,1.000000,0.000000,-40.702557
1.019108,1.000000,0.000000,-40.702385
1.059108,1.000000,0.000000,-40.702213
1.099108,1.000000,0.000000,-40.702042
1.139108,1.000000,0.000000,-40.701870
1.179108,1.000000,0.000000,-40.701698
1.219108,1.000000,0.000000,-40.701527
1.259108,1.000000,0.000000,-40.701355
1.299108,1.000000,0.000000,-40.701183
1.339108,1.000000,0.000000,-40.701008
1.379108,1.000000,0.000001,-40.700836
1.419108,1.000000,0.000001,-40.700668
1.459108,1.000000,0.000001,-40.700497
1.499108,1.000000,0.000001,-40.700325
1.539108,1.000000,0.000001,-40.700153
1.579108,1.000000,0.000001,-40.699982
1.619108,1.000000,0.000001,-40.699810
1.659108,1.000000,0.000001,-40.699638
1.699108,1.000000,0.000001,-40.699467
1.739108,1.000000,0.000001,-40.699295
1.779108,1.000000,0.000001,-40.699123
1.819108,1.000000,0.000001,-40.698948
1.859108,1.000000,0.000001,-40.698776
1.899108,1.000000,0.000001,-40.698608
1.939108,1.000000,0.000001,-40.698437
1.979108,1.000000,0.000002,-40.698265
2.019108,1.000000,0.000002,-40.698093
2.059108,1.000000,0.000002,-40.697922
2.099108,1.000000,0.000002,-40.697750
2.139108,1.000000,0.000002,-40.697578
2.179108,1.000000,0.000002,-40.697407
2.219108,1.000000,0.000002,-40.697235
2.259108,1.000000,0.000002,-40.697063
2.299108,1.000000,0.000002,-40.696892
2.339108,1.000000,0.000003,-40.696720
2.379108,1.000000,0.000003,-40.696545
2.419108,1.000000,0.000003,-40.696377
2.459108,1.000000,0.000003,-40.696205
2.499108,1.000000,0.000003,-40.696033
2.539108,1.000000,0.000003,-40.695862
2.579108,1.000000,0.000003,-40.695690
2.619108,1.000000,0.000004,-40.695518
2.659108,1.000000,0.000004,-40.695347
2.699108,1.000000,0.000004,-40.695175
2.739108,1.000000,0.000004,-40.695004
2.779108,1.000000,0.000004,-40.694832
2.819108,1.000000,0.000004,-40.694660
2.859108,1.000000,0.000005,-40.694489
2.899108,1.000000,0.000005,-40.694317
2.939108,1.000000,0.000005,-40.694149
2.979108,1.000000,0.000005,-40.693977
3.019108,1.000000,0.000005,-40.693806
3.059108,1.000000,0.000006,-40.693630
3.099108,1.000000,0.000006,-40.693459
3.139108,1.000000,0.000006,-40.693287
3.179108,1.000000,0.000006,-40.693115
3.219108,1.000000,0.000007,-40.692944
3.259108,1.000000,0.000007,-40.692772
3.299108,1.000000,0.000007,-40.692600
3.339108,1.000000,0.000007,-40.692429
3.379108,1.000000,0.000008,-40.692257
3.419108,1.000000,0.000008,-40.692089
3.459108,1.000000,0.000008,-40.691917
3.499108,1.000000,0.000008,-40.691746
3.539108,1.000000,0.000009,-40.691574
3.579108,1.000000,0.000009,-40.691402
3.619108,1.000000,0.000009,-40.691231
3.659108,1.000000,0.000009,-40.691059
3.699108,1.000000,0.000010,-40.690887
3.739108,1.000000,0.000010,-40.690716
3.779108,1.000000,0.000010,-40.690544
3.819108,1.000000,0.000011,-40.690372
3.859108,1.000000,0.000011,-40.690201
3.899108,1.000000,0.000011,-40.690029
3.939108,1.000000,0.000012,-40.689861
3.979108,1.000000,0.000012,-40.689690
4.019108,1.000000,0.000012,-40.689518
4.059108,1.000000,0.000013,-40.689346
4.099108,1.000000,0.000013,-40.689175
4.139108,1.000000,0.000013,-40.689003
4.179108,1.000000,0.000014,-40.688831
4.219108,1.000000,0.000014,-40.688660
